Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Token
"0xb118a285ba90bc544743581036479a326f7bd51f4e11cce0c0c3bf754b6507ba","Success","0xca350aa6","22784970","2025-06-26 00:15:11","0xA9D1e08C7793af67e9d92fe308d5697FB81d3E43","Coinbase 10","0x3073f7aAA4DB83f95e9FFf17424F71D4751a3073","Movement: MOVE Token","698.93044507","$123.86","Movement (MOVE)"
"0xc4e8416ab166ae4934a53ded4e5193d2458008e9f4fcd809723a1090ef788513","Success","Execute","22561010","2025-05-25 16:25:11","0x5335adb84DBFDAD0A1fE8CAfCA00598386bdcEF2","Uniswap V2: PACHAT","0x3073f7aAA4DB83f95e9FFf17424F71D4751a3073","Movement: MOVE Token","11,452,243,970","$0.00","<img src='/images/main/empty-token.png' width='18' height='18' class='rounded-circle'>ERC-20: Pac...rie"
"0x5169e47ce219a16f4d93b5d92e9c2618c0076fb9f0112b64221c17df62b4b509","Success","0xca350aa6","22493610","2025-05-16 05:38:11","0xA9D1e08C7793af67e9d92fe308d5697FB81d3E43","Coinbase 10","0x3073f7aAA4DB83f95e9FFf17424F71D4751a3073","Movement: MOVE Token","56.16710339","$9.95","Movement (MOVE)"
"0xca61fb23885c555774d8a7f9ede02fc4425bae907f976c1e8901a7918a15a6de","Success","Transfer","22431536","2025-05-07 11:41:47","0xf89d7b9c864f589bbF53a82105107622B35EaA40","Bybit: Hot Wallet","0x3073f7aAA4DB83f95e9FFf17424F71D4751a3073","Movement: MOVE Token","35.72280045","$6.33","Movement (MOVE)"
"0xe63ebe1062f9123e7da4d2302487258846a8ba2be3f8b037083c36ef3783fd08","Success","Transfer","22344345","2025-04-25 06:48:35","0x878fda563321028Da5E3D1545Be53De558825316","","0x3073f7aAA4DB83f95e9FFf17424F71D4751a3073","Movement: MOVE Token","6","$1.06","Movement (MOVE)"
"0xabfddd65e933a45ae8e45d73d192c91b0b07d8aa2287e61df3ac291864114002","Success","Batch Transfer","22315216","2025-04-21 05:14:47","0x3073f7aAA4DB83f95e9FFf17424F71D4751a3073","Movement: MOVE Token","0x38f6d5fb32f970Fe60924B282704899411126336","","16,181,308,666,142","$0.00","ERC-20"
"0x162254d26c1cb2a404696b6de4e313f5e185c05428c1e0ceeff733bad5c8cf55","Success","Transfer","22308975","2025-04-20 08:19:11","0x1AB4973a48dc892Cd9971ECE8e01DcC7688f8F23","Bitget 6","0x3073f7aAA4DB83f95e9FFf17424F71D4751a3073","Movement: MOVE Token","17.23114649","$3.05","Movement (MOVE)"
"0x78537dc9503695347066890d4de35b0442c51b55b912eea30030adabf2d36e7b","Success","Claim Token","22278095","2025-04-16 00:53:59","0x28ecfE5EeBCD1659974DA853ed039fe66015Dd60","","0x3073f7aAA4DB83f95e9FFf17424F71D4751a3073","Movement: MOVE Token","0.00001","$0.00","Tether USD (USDT)"
"0x09a568522f9153140da24d493d3b9bc7f9fcbd0184e37907fdb2732e87bbb8c9","Success","Claim Token","22261409","2025-04-13 17:00:47","0x15CecAD0cEe19d65C5b789f36c9A80a6Df37a010","","0x3073f7aAA4DB83f95e9FFf17424F71D4751a3073","Movement: MOVE Token","0.000001","$0.00","Tether USD (USDT)"
"0xfaf83c2265d91fb994ff6f3a74b240143d8e5bf69eb7798ce5a47ae2725ae3e2","Success","Batch Transfer","22257700","2025-04-13 04:36:11","0x9B48701BA4fE346A5B6E497b8de8bfcc16D05999","","0x3073f7aAA4DB83f95e9FFf17424F71D4751a3073","Movement: MOVE Token","1","$0.00","<img src='/images/main/empty-token.png' width='18' height='18' class='rounded-circle'>ERC-20: AI Coin"
